circRNA,disease,mean_importance,std_importance,n_explanations,rank
cdr1as,nasopharyngeal carcinoma,0.27880592197179793,0.20416364459433617,20,1
cdr1as,osteosarcoma,0.27880592197179793,0.20416364459433617,20,2
cdr1as,stomach neoplasms,0.27880592197179793,0.20416364459433617,20,3
cdr1as,urinary bladder neoplasms,0.27880592197179793,0.20416364459433617,20,4
cdr1as,squamous cell carcinoma of head and neck,0.27880592197179793,0.20416364459433617,20,5
circ-itch,lung neoplasms,0.26860790997743605,0.17455781091209427,20,6
circ-itch,osteosarcoma,0.26860790997743605,0.17455781091209427,20,7
circ-itch,ovarian neoplasms,0.26860790997743605,0.17455781091209427,20,8
circ-itch,prostatic neoplasms,0.26860790997743605,0.17455781091209427,20,9
circ-itch,"thyroid cancer, papillary",0.26860790997743605,0.17455781091209427,20,10
circ-itch,triple negative breast neoplasms,0.26860790997743605,0.17455781091209427,20,11
circ-itch,urinary bladder neoplasms,0.26860790997743605,0.17455781091209427,20,12
circ-itch,uterine cervical neoplasms,0.26860790997743605,0.17455781091209427,20,13
circ-itch,colorectal neoplasms,0.26860790997743605,0.17455781091209427,20,14
circ-cbfb,"leukemia, lymphocytic, chronic, b-cell",0.2442265883088112,0.1432682781760278,20,15
bcrc-3,urinary bladder neoplasms,0.2442265883088112,0.1432682781760278,20,16
cir-ccdc66,hirschsprung disease,0.2442265883088112,0.1432682781760278,20,17
circ-abcb10,breast neoplasms,0.2442265883088112,0.1432682781760278,20,18
circ-abcb10,"carcinoma, hepatocellular",0.2442265883088112,0.1432682781760278,20,19
circ-abcb10,"carcinoma, ovarian epithelial",0.2442265883088112,0.1432682781760278,20,20
circ-abcb10,lung neoplasms,0.2442265883088112,0.1432682781760278,20,21
circ-adam9,pancreatic neoplasms,0.2442265883088112,0.1432682781760278,20,22
circ-akt3,"carcinoma, renal cell",0.2442265883088112,0.1432682781760278,20,23
circ-akt3,lung neoplasms,0.2442265883088112,0.1432682781760278,20,24
circ-anapc7,"leukemia, myeloid, acute",0.2442265883088112,0.1432682781760278,20,25
circ-ash2l,"carcinoma, pancreatic ductal",0.2442265883088112,0.1432682781760278,20,26
circ-atp8a2,uterine cervical neoplasms,0.2442265883088112,0.1432682781760278,20,27
circ-banp,lung neoplasms,0.2442265883088112,0.1432682781760278,20,28
hsa_circrna_102101,active tuberculosis,0.2442265883088112,0.1432682781760278,20,29
circ-cdc45,glioma,0.2442265883088112,0.1432682781760278,20,30
circ-cdyl,breast neoplasms,0.2442265883088112,0.1432682781760278,20,31
circ-cdyl,"carcinoma, hepatocellular",0.2442265883088112,0.1432682781760278,20,32
circ-cdyl,colonic neoplasms,0.2442265883088112,0.1432682781760278,20,33
circ-cep85l,stomach neoplasms,0.2442265883088112,0.1432682781760278,20,34
circ-cspp1,ovarian neoplasms,0.2442265883088112,0.1432682781760278,20,35
circ-dcaf6,stomach neoplasms,0.2442265883088112,0.1432682781760278,20,36
circ-dicer1,glioma,0.2442265883088112,0.1432682781760278,20,37
circ-eif4g3,stomach neoplasms,0.2442265883088112,0.1432682781760278,20,38
circ-eno1,adenocarcinoma of lung,0.2442265883088112,0.1432682781760278,20,39
circ-ezh2,glioma,0.2442265883088112,0.1432682781760278,20,40
circ-fam53b,ovarian neoplasms,0.2442265883088112,0.1432682781760278,20,41
circ-foxm1,"carcinoma, non-small-cell lung",0.2442265883088112,0.1432682781760278,20,42
circ-foxm1,"thyroid cancer, papillary",0.2442265883088112,0.1432682781760278,20,43
circ-foxo3,"carcinoma, non-small-cell lung",0.2442265883088112,0.1432682781760278,20,44
circ-foxo3,glioblastoma,0.2442265883088112,0.1432682781760278,20,45
circ-foxo3,urinary bladder neoplasms,0.2442265883088112,0.1432682781760278,20,46
circ-foxp1,"carcinoma, hepatocellular",0.2442265883088112,0.1432682781760278,20,47
circ-iars,pancreatic neoplasms,0.2442265883088112,0.1432682781760278,20,48
circ-lamp1,precursor t-cell lymphoblastic leukemia-lymphoma,0.2442265883088112,0.1432682781760278,20,49
circ-ldlrad3,pancreatic neoplasms,0.2442265883088112,0.1432682781760278,20,50
circ-notch1,stomach neoplasms,0.2442265883088112,0.1432682781760278,20,51
circ-nsd2,colorectal neoplasms,0.2442265883088112,0.1432682781760278,20,52
circ-pax2,lung squamous cell carcinoma,0.2442265883088112,0.1432682781760278,20,53
circ-pde8a,pancreatic neoplasms,0.2442265883088112,0.1432682781760278,20,54
circ-pitx1,glioblastoma,0.2442265883088112,0.1432682781760278,20,55
circ-pitx1,glioma,0.2442265883088112,0.1432682781760278,20,56
circ-pkd2,squamous cell carcinoma of head and neck,0.2442265883088112,0.1432682781760278,20,57
circ-postn,glioma,0.2442265883088112,0.1432682781760278,20,58
circ-prkci,adenocarcinoma of lung,0.2442265883088112,0.1432682781760278,20,59
circ-prkci,"carcinoma, hepatocellular",0.2442265883088112,0.1432682781760278,20,60
circ-prkci,hirschsprung disease,0.2442265883088112,0.1432682781760278,20,61
circ-prmt5,bladder urothelial carcinoma,0.2442265883088112,0.1432682781760278,20,62
circ-prmt5,"carcinoma, hepatocellular",0.2442265883088112,0.1432682781760278,20,63
circ-prmt5,"carcinoma, non-small-cell lung",0.2442265883088112,0.1432682781760278,20,64
circ-prmt5,colorectal neoplasms,0.2442265883088112,0.1432682781760278,20,65
circ-prmt5,stomach neoplasms,0.2442265883088112,0.1432682781760278,20,66
circ-ptprz1,glioma,0.2442265883088112,0.1432682781760278,20,67
circ-rad23b,"carcinoma, non-small-cell lung",0.2442265883088112,0.1432682781760278,20,68
circ-rad23b,esophageal neoplasms,0.2442265883088112,0.1432682781760278,20,69
